Numéro de la tâche,Date de création de la tâche,Nom de la personne initiatrice de la tâche,Site de réalisation de la tâche,Nature de la tâche,Description de la tâche,Date de début de la tâche,Durée estimée en heure(s) ou journée(s),Nombre de personnes souhaitées,Service N°1 mandaté pour la réalisation de la tâche,Service N°2 mandaté pour la réalisation de la tâche,Service N°3 mandaté pour la réalisation de la tâche
T_P1448,45491,Jan Callemeyn,MRS,Entretien général,"Niv -1; Buanderie: La MAL Primus du milieu a été mise à l'arrêt. Après investigation, les roulements de l'axe du tambour ainsi que le bourrage d'étanchéité sont à remplacer. Merci pour votre retour...",45491,,1,Primus,,
T_P1449,45492,Jan Callemeyn,MRS,Entretien général,Ext: Caméra CPRO Parking: modifier son emplacement afin de la rendre accessible sans nacelle. Merci,45492,,2,Ouvriers_CPAS,,
T_P1450,45495,Jan Callemeyn,MRS,Entretien général,Niv 0: cantou : placer le thermostat +3/-3 dans un boitier transparent sous clé. Merci,45495,,1,Ouvriers_CPAS,,
T_P1454,45509,Jan Callemeyn,MRS,Entretien général,"Niv -1; Local serveur:  La climatisation manque d'efficacité. Une intervention rapide est souhaitée vu l'importance du matériel informatique installé dans ce local, ",45509,,1,Pelzer,,
T_P1456,45520,Jan Callemeyn,MRS,Entretien général,"Niv +3: PAC eau glacée: Alarme clignotante. Le fonctionnement reste normal. Merci de vérifier,",45520,,1,Thersa,,
T_P1457,45520,Jan Callemeyn,MRS,Electricité,"Niv 0; cantou; chambre 35: Eclairage dans la salle de bain ne fonctionne plus, merci",45520,,1,Ouvriers_CPAS,,
T_P1455,45520,Jan Callemeyn,MRS,Entretien général,"Niv -1; cuisine; chambre froide de surgélation: Merci d'obturer le conduit d'aération, afin de limiter le givre à l'entrée de la chambre,,,,",45520,,1,Ouvriers_CPAS,,
T_P1458,45524,Jan Callemeyn,MRS,Electricité,"Installation de cogénération MRS; En panne: alarme: tension batterie inférieure à 12 V (E042). Merci de nous transmettre un devis pour l'intervention (sans doute le remplacement des batteries), Merci",45524,,1,Cogengreen,,
T_P1460,45526,Jan Callemeyn,MRS,Entretien général,Niv -1: cuisine: chambre froide de congélation: poignée d'ouverture et de fermeture déficientente du côté chargement. Merci,45526,,1,Pelzer,,
T_P1461,45529,Jan Callemeyn,MRS,Electricité,"Esplanade: L'enseigne arbre de vie n'est illuminée qu'à 50 % (""L'arbre"" oui, ""de vie"" non),",45529,1,1,Ouvriers_CPAS,,
T_P1462,45529,Jan Callemeyn,MRS,Entretien général,"Niv -1: porte couloir technique: le rétenteur électrique ne fonctionne plus,",45529,,1,Ouvriers_CPAS,,
T_P1463,45530,Jan Callemeyn,MRS,Entretien général,"RDC: petite aile: chambre 21: la porte d'entrée frotte au sol, Merci",45530,,1,Ouvriers_CPAS,,
T_P1464,45531,Jan Callemeyn,MRS,Cuisine,"Cuisine - zone sale: fuite d'eau au niveau des bacs de trempage vaisselles sales,",45531,,1,Ouvriers_CPAS,,
T_P1465,45538,Jan Callemeyn,MRS,Entretien général,Niv 0: petite aile: chambre 21: porte d'entrée frotte et problème de détecteur d'alumage. Voir avec le résident. Merci,45538,,1,Ouvriers_CPAS,,
T_P1468,45540,Jan Callemeyn,MRS,Cuisine,Niv -1: chambre froide de surgélation: porte d'accès côté cuisine: dégivrer le pourtour et vérifier le frottement au sol. Merci,45540,,1,Ouvriers_CPAS,,
T_P1471,45553,Jan Callemeyn,MRS,Cuisine,"Cuisine - zone sale: fuite d'eau au niveau des bacs de trempage vaisselles sales,",45553,,1,Ouvriers_CPAS,,
T_P1472,45559,Jan Callemeyn,MRS,Entretien général,"Niv 0: fumoir: envisager le remplacement des filtres du purificateur d'air avec moi, svp. Merci",45559,,1,Ouvriers_CPAS,,
T_P1478,45562,Jan Callemeyn,MRS,Electricité,Niv -1: Spilmont: remplacer l'interrupteur à clé et l'interrupeur général On/Off,45562,,1,Ouvriers_CPAS,,
T_P1475,45562,Jan Callemeyn,MRS,Electricité,Niv 0 - petite aile - Détecteur au faond du couloir dysfonctionne.,45562,,1,Ouvriers_CPAS,,
